Territory,WHO region,Transmission zone,Year,Week,Start date,End date,Collected,Processed,A (H1),A (H1N1)pdm09,A (H3),A (H5),A (not subtyped),A (total),B (Yamagata),B (Victoria),B (not subtyped),B (total),Total positive,Total negative,ILI activity
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,1,2019-12-30,2020-01-05,41,41, ,1,9,0,0,10,0,0,0,0,10,31,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,2,2020-01-06,2020-01-12,83,83, ,0,0,0,0,0,0,2,0,2,2,81,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,3,2020-01-13,2020-01-19,82,82, ,8,9,0,0,17,1,0,0,1,18,64,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,4,2020-01-20,2020-01-26,106,106, ,5,11,0,0,16,1,3,0,4,20,86,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,5,2020-01-27,2020-02-02,81,81, ,3,9,0,0,12,0,6,0,6,18,63,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,6,2020-02-03,2020-02-09,97,97, ,8,9,0,0,17,0,5,0,5,22,75,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,7,2020-02-10,2020-02-16,116,116, ,2,4,0,0,6,0,1,0,1,7,109,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,8,2020-02-17,2020-02-23,114,114, ,1,2,0,0,3,0,0,0,0,3,111,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,9,2020-02-24,2020-03-01,67,67, ,0,0,0,0,0,0,0,0,0,0,67,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,10,2020-03-02,2020-03-08,107,107, ,0,0,0,0,0,0,2,0,2,2,105,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,11,2020-03-09,2020-03-15,78,78, ,0,0,0,0,0,0,0,0,0,0,78,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,12,2020-03-16,2020-03-22,54,54, ,0,0,0,0,0,0,0,0,0,0,54,No Report
